gen	nevals	avg     	std       	min     	max
0  	20    	0.502734	0.00933422	0.484375	0.523438
1  	14    	0.504687	0.00904362	0.492188	0.515625
2  	16    	0.507812	0.00890762	0.492188	0.515625
3  	15    	0.510547	0.00933422	0.492188	0.515625
4  	15    	0.512109	0.00836886	0.492188	0.515625
5  	15    	0.510938	0.009375  	0.492188	0.515625
6  	8     	0.512109	0.00836886	0.492188	0.515625
7  	11    	0.514453	0.00510808	0.492188	0.515625
8  	15    	0.508594	0.0107404 	0.492188	0.515625
9  	11    	0.512109	0.00836886	0.492188	0.515625
10 	8     	0.510938	0.009375  	0.492188	0.515625
11 	15    	0.510938	0.009375  	0.492188	0.515625
12 	9     	0.513281	0.00703125	0.492188	0.515625
13 	14    	0.508594	0.0107404 	0.492188	0.515625
14 	12    	0.508594	0.0107404 	0.492188	0.515625
15 	11    	0.513281	0.00703125	0.492188	0.515625
16 	10    	0.510938	0.009375  	0.492188	0.515625
17 	6     	0.510938	0.009375  	0.492188	0.515625
18 	11    	0.512109	0.00836886	0.492188	0.515625
19 	11    	0.510938	0.009375  	0.492188	0.515625
20 	11    	0.510938	0.009375  	0.492188	0.515625
21 	12    	0.512109	0.00836886	0.492188	0.515625
22 	13    	0.510938	0.009375  	0.492188	0.515625
23 	15    	0.512109	0.00836886	0.492188	0.515625
24 	8     	0.509766	0.0101487 	0.492188	0.515625
25 	13    	0.513281	0.00703125	0.492188	0.515625
26 	13    	0.510938	0.009375  	0.492188	0.515625
27 	11    	0.512109	0.00836886	0.492188	0.515625
28 	13    	0.508594	0.0107404 	0.492188	0.515625
29 	13    	0.510938	0.009375  	0.492188	0.515625
30 	17    	0.509766	0.0101487 	0.492188	0.515625
31 	16    	0.512109	0.00836886	0.492188	0.515625
32 	13    	0.510938	0.009375  	0.492188	0.515625
33 	8     	0.510938	0.009375  	0.492188	0.515625
34 	11    	0.513281	0.00703125	0.492188	0.515625
35 	14    	0.510938	0.009375  	0.492188	0.515625
36 	11    	0.510938	0.009375  	0.492188	0.515625
37 	9     	0.508594	0.0107404 	0.492188	0.515625
38 	18    	0.510938	0.009375  	0.492188	0.515625
39 	9     	0.509766	0.0101487 	0.492188	0.515625
40 	16    	0.513281	0.00703125	0.492188	0.515625
41 	18    	0.505078	0.01166   	0.492188	0.515625
42 	11    	0.508594	0.0107404 	0.492188	0.515625
43 	13    	0.509766	0.0101487 	0.492188	0.515625
44 	15    	0.513281	0.00703125	0.492188	0.515625
45 	13    	0.507422	0.011179  	0.492188	0.515625
46 	19    	0.513281	0.00703125	0.492188	0.515625
47 	15    	0.512109	0.00836886	0.492188	0.515625
48 	12    	0.510938	0.009375  	0.492188	0.515625
49 	10    	0.509766	0.0101487 	0.492188	0.515625
50 	9     	0.513281	0.00703125	0.492188	0.515625
51 	12    	0.508594	0.0107404 	0.492188	0.515625
52 	11    	0.510938	0.009375  	0.492188	0.515625
53 	10    	0.510938	0.009375  	0.492188	0.515625
54 	14    	0.514453	0.00510808	0.492188	0.515625
55 	19    	0.513281	0.00703125	0.492188	0.515625
56 	10    	0.509766	0.0101487 	0.492188	0.515625
57 	10    	0.508594	0.0107404 	0.492188	0.515625
58 	14    	0.507422	0.011179  	0.492188	0.515625
59 	7     	0.513281	0.00703125	0.492188	0.515625
60 	12    	0.513281	0.00703125	0.492188	0.515625
61 	12    	0.509766	0.0101487 	0.492188	0.515625
62 	16    	0.508594	0.0107404 	0.492188	0.515625
63 	12    	0.508594	0.0107404 	0.492188	0.515625
64 	12    	0.513281	0.00703125	0.492188	0.515625
65 	14    	0.512109	0.00836886	0.492188	0.515625
66 	12    	0.507422	0.011179  	0.492188	0.515625
67 	16    	0.508594	0.0107404 	0.492188	0.515625
68 	12    	0.507422	0.011179  	0.492188	0.515625
69 	15    	0.508594	0.0107404 	0.492188	0.515625
70 	10    	0.510938	0.009375  	0.492188	0.515625
71 	12    	0.513281	0.00703125	0.492188	0.515625
72 	12    	0.512109	0.00836886	0.492188	0.515625
73 	15    	0.509766	0.0101487 	0.492188	0.515625
74 	10    	0.510938	0.009375  	0.492188	0.515625
75 	18    	0.507422	0.011179  	0.492188	0.515625
76 	14    	0.512109	0.00836886	0.492188	0.515625
77 	13    	0.509766	0.0101487 	0.492188	0.515625
78 	16    	0.509766	0.0101487 	0.492188	0.515625
79 	12    	0.512109	0.00836886	0.492188	0.515625
80 	16    	0.512109	0.00836886	0.492188	0.515625
81 	17    	0.50625 	0.011482  	0.492188	0.515625
82 	13    	0.509766	0.0101487 	0.492188	0.515625
83 	11    	0.512109	0.00836886	0.492188	0.515625
84 	12    	0.512109	0.00836886	0.492188	0.515625
85 	15    	0.513281	0.00703125	0.492188	0.515625
86 	7     	0.509766	0.0101487 	0.492188	0.515625
87 	11    	0.510938	0.009375  	0.492188	0.515625
88 	14    	0.512109	0.00836886	0.492188	0.515625
89 	13    	0.510938	0.009375  	0.492188	0.515625
90 	15    	0.507422	0.011179  	0.492188	0.515625
91 	15    	0.510938	0.009375  	0.492188	0.515625
92 	6     	0.509766	0.0101487 	0.492188	0.515625
93 	11    	0.510938	0.009375  	0.492188	0.515625
94 	14    	0.512109	0.00836886	0.492188	0.515625
95 	10    	0.513281	0.00703125	0.492188	0.515625
96 	12    	0.510938	0.009375  	0.492188	0.515625
97 	9     	0.512109	0.00836886	0.492188	0.515625
98 	10    	0.510938	0.009375  	0.492188	0.515625
99 	10    	0.513281	0.00703125	0.492188	0.515625
100	14    	0.510938	0.009375  	0.492188	0.515625
